Date,SFH_Sales
1/1/1963,591
2/1/1963,464
3/1/1963,461
4/1/1963,605
5/1/1963,586
6/1/1963,526
7/1/1963,665
8/1/1963,570
9/1/1963,590
10/1/1963,567
11/1/1963,579
12/1/1963,514
1/1/1964,549
2/1/1964,609
3/1/1964,562
4/1/1964,559
5/1/1964,523
6/1/1964,580
7/1/1964,575
8/1/1964,582
9/1/1964,590
10/1/1964,583
11/1/1964,548
12/1/1964,540
1/1/1965,533
2/1/1965,559
3/1/1965,556
4/1/1965,555
5/1/1965,544
6/1/1965,614
7/1/1965,554
8/1/1965,615
9/1/1965,587
10/1/1965,555
11/1/1965,616
12/1/1965,609
1/1/1966,599
2/1/1966,541
3/1/1966,557
4/1/1966,545
5/1/1966,499
6/1/1966,434
7/1/1966,435
8/1/1966,377
9/1/1966,358
10/1/1966,387
11/1/1966,382
12/1/1966,369
1/1/1967,416
2/1/1967,408
3/1/1967,439
4/1/1967,479
5/1/1967,503
6/1/1967,499
7/1/1967,515
8/1/1967,504
9/1/1967,531
10/1/1967,566
11/1/1967,500
12/1/1967,502
1/1/1968,494
2/1/1968,543
3/1/1968,490
4/1/1968,501
5/1/1968,441
6/1/1968,441
7/1/1968,493
8/1/1968,507
9/1/1968,501
10/1/1968,502
11/1/1968,469
12/1/1968,511
1/1/1969,480
2/1/1969,524
3/1/1969,474
4/1/1969,450
5/1/1969,447
6/1/1969,461
7/1/1969,436
8/1/1969,422
9/1/1969,396
10/1/1969,401
11/1/1969,441
12/1/1969,452
1/1/1970,461
2/1/1970,373
3/1/1970,389
4/1/1970,445
5/1/1970,466
6/1/1970,485
7/1/1970,481
8/1/1970,515
9/1/1970,564
10/1/1970,545
11/1/1970,570
12/1/1970,582
1/1/1971,618
2/1/1971,618
3/1/1971,681
4/1/1971,662
5/1/1971,618
6/1/1971,646
7/1/1971,706
8/1/1971,659
9/1/1971,625
10/1/1971,647
11/1/1971,710
12/1/1971,689
1/1/1972,698
2/1/1972,711
3/1/1972,640
4/1/1972,684
5/1/1972,677
6/1/1972,687
7/1/1972,681
8/1/1972,773
9/1/1972,767
10/1/1972,843
11/1/1972,735
12/1/1972,772
1/1/1973,781
2/1/1973,737
3/1/1973,725
4/1/1973,661
5/1/1973,660
6/1/1973,650
7/1/1973,601
8/1/1973,566
9/1/1973,561
10/1/1973,565
11/1/1973,547
12/1/1973,519
1/1/1974,523
2/1/1974,539
3/1/1974,572
4/1/1974,544
5/1/1974,590
6/1/1974,534
7/1/1974,534
