Date,Month,Quarter,Starts
1/1/1959,1,1,96.2
2/1/1959,2,1,99
3/1/1959,3,1,127.7
4/1/1959,4,2,150.8
5/1/1959,5,2,152.5
6/1/1959,6,2,147.8
7/1/1959,7,3,148.1
8/1/1959,8,3,138.2
9/1/1959,9,3,136.4
10/1/1959,10,4,120
11/1/1959,11,4,104.7
12/1/1959,12,4,95.6
1/1/1960,1,1,86
2/1/1960,2,1,90.7
3/1/1960,3,1,90.5
4/1/1960,4,2,123
5/1/1960,5,2,130.2
6/1/1960,6,2,122.8
7/1/1960,7,3,114.3
8/1/1960,8,3,130.3
9/1/1960,9,3,96.9
10/1/1960,10,4,110.4
11/1/1960,11,4,92.8
12/1/1960,12,4,64.2
1/1/1961,1,1,70.4
2/1/1961,2,1,74.1
3/1/1961,3,1,104.2
4/1/1961,4,2,112.8
5/1/1961,5,2,127.6
6/1/1961,6,2,134.8
7/1/1961,7,3,126.6
8/1/1961,8,3,127.1
9/1/1961,9,3,125.4
10/1/1961,10,4,124.8
11/1/1961,11,4,103
12/1/1961,12,4,82.2
1/1/1962,1,1,81.2
2/1/1962,2,1,77.1
3/1/1962,3,1,116.2
4/1/1962,4,2,147.8
5/1/1962,5,2,155.2
6/1/1962,6,2,136.8
7/1/1962,7,3,136.5
8/1/1962,8,3,147.7
9/1/1962,9,3,114.3
10/1/1962,10,4,135.2
11/1/1962,11,4,120.9
12/1/1962,12,4,93.9
1/1/1963,1,1,79
2/1/1963,2,1,89.6
3/1/1963,3,1,124.8
4/1/1963,4,2,164.2
5/1/1963,5,2,172.7
6/1/1963,6,2,154.2
7/1/1963,7,3,151.3
8/1/1963,8,3,144
9/1/1963,9,3,143.7
10/1/1963,10,4,165.3
11/1/1963,11,4,119.3
12/1/1963,12,4,95
1/1/1964,1,1,97.9
2/1/1964,2,1,101.3
3/1/1964,3,1,129.1
4/1/1964,4,2,147.1
5/1/1964,5,2,152.8
6/1/1964,6,2,157.2
7/1/1964,7,3,140.6
8/1/1964,8,3,138.3
9/1/1964,9,3,119.8
10/1/1964,10,4,141.2
11/1/1964,11,4,110.6
12/1/1964,12,4,93
